Ticker,Description,Price,Change %,Technical Rating,Volume,Change from Open %,Volume*Price,Market Capitalization,Number of Employees,Sector,Industry,"Change 1M, %","Change 1W, %",Exchange
TMUS,"T-Mobile US, Inc.",141.57,-1.55761074,Sell,6986835,-1.22793553,989126230.95,176134915640,75000,Communications,Wireless Telecommunications,-6.52977684,-7.1123942,NASDAQ
DIS,Walt Disney Company (The),93.38,0.89681253,Sell,10111651,1.0934286,944225970.38,170287019781,220000,Consumer Services,Movies/Entertainment,-4.5877184,-6.08468269,NYSE
PDD,Pinduoduo Inc.,89.71,-1.5366041,Buy,10133548,-2.09538361,909080591.08,113428044475,9762,Retail Trade,Internet Retail,9.349098,3.9031735,NASDAQ
PG,Procter & Gamble Company (The),150.92,-0.26434047,Buy,5868231,0.1459854,885633422.52,357634633298,106000,Consumer Non-Durables,Household/Personal Care,1.179941,0.20582963,NYSE
KO,Coca-Cola Company (The),63.14,-1.04999216,Buy,13914856,-0.73887753,878584007.84,273049790602.99997,79000,Consumer Non-Durables,Beverages: Non-Alcoholic,-0.73887753,-1.88034188,NYSE
PYPL,"PayPal Holdings, Inc.",73.57,-0.87577472,Sell,11781616,-0.51386072,866773489.1199999,83871838274,30900,Commercial Services,Miscellaneous Commercial Services,-6.17268206,-1.45995178,NASDAQ
FIS,"Fidelity National Information Services, Inc.",70.27,0.68777762,Neutral,12298501,3.23196709,864215665.27,41696772351,65000,Commercial Services,Miscellaneous Commercial Services,-3.18269496,-5.11747232,NYSE
SHOP,Shopify Inc.,38.38,-0.67287785,Neutral,21469353,-0.18205462,823993768.1400001,41475638282,10000,Technology Services,Packaged Software,-6.11545988,-10.8685555,NYSE
SBUX,Starbucks Corporation,101.79,-1.87969925,Buy,7999590,-1.58561346,814278266.1,116834568021,402000,Consumer Services,Restaurants,-0.40117417,-3.10328415,NASDAQ
MA,Mastercard Incorporated,348.83,-0.66634394,Buy,2301173,0.12342135,802718177.5899999,335385999897,24000,Commercial Services,Miscellaneous Commercial Services,-2.12401796,-3.11892462,NYSE
JNJ,Johnson & Johnson,175.74,-0.82392777,Neutral,4560968,-0.77913279,801544516.32,459469326803.0001,141700,Health Technology,Pharmaceuticals: Major,-1.26966292,-1.75536673,NYSE
DVN,Devon Energy Corporation,59.62,-6.11023622,Strong Sell,13152777,-3.76109766,784168564.74,38973594030,1600,Energy Minerals,Oil & Gas Production,-12.98890835,-12.91264972,NYSE
VZ,Verizon Communications Inc.,37.4,0.80862534,Sell,20671248,0.51061543,773104675.1999999,157073176526,118400,Communications,Major Telecommunications,-4.0533607,-2.04295443,NYSE
ENPH,"Enphase Energy, Inc.",319.55,-0.10004064,Buy,2399665,1.60572337,766812950.75,43434379603.00001,2260,Electronic Technology,Semiconductors,-0.32440188,-4.89583333,NASDAQ
ABBV,AbbVie Inc.,163.06,-1.76516658,Buy,4644806,-2.2187575,757382066.36,288368420917,50000,Health Technology,Pharmaceuticals: Major,1.16639782,-0.36661371,NYSE
SLB,Schlumberger N.V.,46.97,-5.90945513,Sell,16079742,-5.90945513,755265481.74,66603169315.00001,92000,Industrial Services,Oilfield Services/Equipment,-8.88457808,-11.02481531,NYSE
OXY,Occidental Petroleum Corporation,62.6,-1.74226966,Sell,11979515,-1.54136521,749917639,56898022746,11678,Energy Minerals,Oil & Gas Production,-9.9150957,-8.2246005,NYSE
GILD,"Gilead Sciences, Inc.",87.97,-1.67653962,Buy,8276293,-1.45073657,728065495.21,110335837105,14400,Health Technology,Biotechnology,0.15939884,-1.19060991,NASDAQ
INTC,Intel Corporation,28.24,-0.70323488,Sell,25641349,-0.52835505,724111695.76,116546479055,121100,Electronic Technology,Semiconductors,-6.0857998,-3.97823869,NASDAQ
QCOM,QUALCOMM Incorporated,119.05,-2.21765914,Sell,6035995,-1.12536855,718585204.75,133455053421,51000,Electronic Technology,Semiconductors,-5.8818879,-5.26022601,NASDAQ
COP,ConocoPhillips,110.02,-2.29129663,Sell,6385654,-2.12614536,702549653.0799999,137092745610.00002,9900,Energy Minerals,Oil & Gas Production,-10.92219254,-9.95252906,NYSE
BMY,Bristol-Myers Squibb Company,78.83,-1.31447171,Buy,8857094,-1.62236366,698204720.02,167605209010,32200,Health Technology,Pharmaceuticals: Major,-1.80617838,-2.83495624,NYSE
CSCO,"Cisco Systems, Inc.",48.46,-1.08185344,Buy,14303159,-1.30346232,693131085.14,199078668944,83300,Electronic Technology,Telecommunications Equipment,-2.53419147,-2.49496982,NASDAQ
VALE,VALE S.A.,16.94,3.10407791,Strong Buy,40815403,0.89338892,691412926.82,76922401341.769,72266,Non-Energy Minerals,Steel,2.66666667,1.31578947,NYSE
TXN,Texas Instruments Incorporated,174.26,-1.1907462,Buy,3966812,-0.96612867,691256659.12,158153442298,31000,Electronic Technology,Semiconductors,-3.43566441,-1.91376787,NASDAQ
WFC,Wells Fargo & Company,42.5,-0.18788163,Sell,16023748,0.40160643,681009290,161945866089,247848,Finance,Major Banks,-11.36600626,-7.48802786,NYSE
SNOW,Snowflake Inc.,144.53,1.16189543,Sell,4635825,1.36054422,670015787.25,46480848489.99999,3992,Technology Services,Packaged Software,1.1406578,-3.47936423,NYSE
LOW,"Lowe's Companies, Inc.",201.77,-0.87934761,Neutral,3226910,0.38308458,651093630.7,122010841278.99998,340000,Retail Trade,Home Improvement Chains,-5.07174782,-6.0835971,NYSE
ADBE,Adobe Inc.,330.64,-0.5833183,Sell,1969161,-0.25942685,651083393.04,153714540792,25988,Technology Services,Packaged Software,-4.14286957,-3.18859251,NASDAQ
TMO,Thermo Fisher Scientific Inc,560.23,-1.35927458,Buy,1157154,-0.66843972,648272385.4200001,219719709036.99997,130000,Health Technology,Medical Specialties,0.00178501,-0.4920071,NYSE
CMCSA,Comcast Corporation,35.32,1.00085788,Buy,18016967,0.97198399,636359274.44,152702795041,189000,Consumer Services,Cable/Satellite TV,-3.60262009,-1.50585611,NASDAQ
C,"Citigroup, Inc.",44.86,0.3803983,Sell,14030599,0.58295964,629412671.14,86887222513.00002,223400,Finance,Investment Banks/Brokers,-7.33319562,-5.0381033,NYSE
BILI,Bilibili Inc.,25.41,8.58974359,Strong Buy,24535996,3.62969005,623459658.36,10006043164.14996,12281,Technology Services,Packaged Software,46.37096774,28.07459677,NASDAQ
NKE,"Nike, Inc.",109.42,-1.7420977,Buy,5677695,-0.72582109,621253386.9,171208130099,79100,Consumer Non-Durables,Apparel/Footwear,-0.24614824,-2.47771836,NYSE
MRNA,"Moderna, Inc.",177.35,-3.9794261,Neutral,3497758,-4.13513514,620327381.3,68134410643,2700,Health Technology,Biotechnology,0.81860042,-2.74197971,NASDAQ
ATVI,"Activision Blizzard, Inc",75.16,0.53504548,Buy,8249900,0.87236613,620062484,58822120803,9800,Technology Services,Packaged Software,1.6362407,-0.79197466,NASDAQ
UPS,"United Parcel Service, Inc.",177.64,-1.10783277,Sell,3487165,-0.90371527,619459990.5999999,153626788208.00003,534000,Transportation,Air Freight/Couriers,-6.37221314,-6.20412905,NYSE
AMGN,Amgen Inc.,278.65,-2.42322373,Neutral,2205856,-1.94940005,614661774.4,148681830401,24200,Health Technology,Biotechnology,-2.70600559,-2.40271794,NASDAQ
EL,"Estee Lauder Companies, Inc. (The)",240.41,-0.91088946,Buy,2468100,-0.19926107,593355921,85781251925,63000,Consumer Non-Durables,Household/Personal Care,1.95937063,0.58574955,NYSE
PM,Philip Morris International Inc,102.09,0.02939447,Buy,5723631,-0.05873715,584325488.79,158260144119,69600,Consumer Non-Durables,Tobacco,2.42801244,-2.11888782,NYSE
DE,Deere & Company,434.81,-1.83324679,Buy,1340607,-1.93287925,582909329.67,131234184146,,Producer Manufacturing,Trucks/Construction/Farm Machinery,-1.40362812,-2.42364399,NYSE
MS,Morgan Stanley,89.47,0.87946781,Buy,6488330,0.89084348,580510885.1,151214087844,74814,Finance,Investment Banks/Brokers,-3.8680563,-2.85559175,NYSE
ABT,Abbott Laboratories,107.51,0.55181444,Buy,5346417,0.73081608,574793291.6700001,187451615487,113000,Health Technology,Medical Specialties,-0.06506786,-0.53658988,NYSE
MPC,Marathon Petroleum Corporation,106.83,-1.85576481,Sell,5379930,-1.4028611,574737921.9,50067040334.99999,17700,Energy Minerals,Oil Refining/Marketing,-12.2978409,-9.64222279,NYSE
PXD,Pioneer Natural Resources Company,214,-3.28994939,Strong Sell,2678157,-2.74495546,573125598,50846130280,1932,Energy Minerals,Oil & Gas Production,-9.31819145,-10.61359175,NYSE
GS,"Goldman Sachs Group, Inc. (The)",359.14,0.29602324,Neutral,1588812,0.68122565,570605941.68,121617228927.00002,43900,Finance,Investment Banks/Brokers,-6.99469118,-5.63350675,NYSE
PEP,"PepsiCo, Inc.",183.1,-0.37000762,Buy,3116234,-0.60257315,570582445.4,252258568149.99997,309000,Consumer Non-Durables,Beverages: Non-Alcoholic,-1.29912134,-1.39479778,NASDAQ
VLO,Valero Energy Corporation,114.65,-1.92472198,Sell,4975060,-1.98341455,570390629,44200245202.99999,9813,Energy Minerals,Oil Refining/Marketing,-14.1969765,-9.77414024,NYSE
HUM,Humana Inc.,533.42,-2.54676995,Sell,1068947,-2.32370768,570197708.74,67531139949.00001,96900,Health Services,Managed Health Care,-2.99690853,-2.44339588,NYSE
T,AT&T Inc.,19.09,-0.15690377,Buy,29815558,0.10487677,569179002.22,136054431087,203000,Communications,Major Telecommunications,-0.98547718,0.36803365,NYSE
ISRG,"Intuitive Surgical, Inc.",270.6,-0.52202044,Buy,2102911,0.04066694,569047716.6,95625861929,9793,Health Technology,Medical Specialties,0.07766559,-0.60606061,NASDAQ
BEKE,KE Holdings Inc,15.39,-3.51097179,Buy,36633590,-3.87257964,563790950.1,20706744639.370743,110082,Technology Services,Internet Software/Services,-9.04255319,-12.60647359,NYSE
NIO,NIO Inc.,12.63,-5.81655481,Buy,44099353,-4.10022779,556974828.39,20758561209.35121,,Consumer Durables,Motor Vehicles,-1.17370892,-3.80807312,NYSE
F,Ford Motor Company,13.18,0.45731707,Sell,41552759,1.07361963,547665363.62,52992063971,183000,Consumer Durables,Motor Vehicles,-5.17985612,-4.90620491,NYSE
ORCL,Oracle Corporation,79.86,-0.26227051,Buy,6850806,0.26365348,547105367.16,215315839150.00003,143000,Technology Services,Packaged Software,-3.81789715,-4.18716257,NYSE
MU,"Micron Technology, Inc.",54.87,-0.59782609,Sell,9932167,0.34747623,544978003.29,59652938774,48000,Electronic Technology,Semiconductors,-4.82220295,0.34747623,NASDAQ
SQ,"Block, Inc.",64.6,1.94098154,Neutral,8418071,2.37717908,543807386.5999999,38635781922,8521,Technology Services,Information Technology Services,-4.67758595,-5.25080669,NYSE
KLAC,KLA Corporation,393.41,-0.63396646,Buy,1380426,0.38274094,543073392.6600001,55753405873.99999,14000,Electronic Technology,Semiconductors,0.06613252,0.98829449,NASDAQ
TEAM,Atlassian Corporation,137.33,1.19372191,Neutral,3911089,2.324715,537109852.37,35090560158,8813,Technology Services,Packaged Software,4.39376663,-2.60283688,NASDAQ
ACN,Accenture plc,288.41,-1.2801643,Neutral,1827225,-0.33864335,526989962.25000006,191730126048.00003,721000,Technology Services,Information Technology Services,-4.16043598,-3.90497451,NYSE
SPGI,S&P Global Inc.,346.75,-1.71763839,Sell,1502805,-1.30642682,521097633.75,112971145766.99998,22850,Commercial Services,Financial Publishing/Services,-1.71485261,-3.62701501,NYSE
ASML,ASML Holding N.V. - New York Registry Shares,597.7,-1.51427771,Buy,870651,-0.87729481,520388102.7000001,243806322433.92117,29861,Electronic Technology,Semiconductors,-1.7134776,-1.32241502,NASDAQ
MDB,"MongoDB, Inc.",191.75,-1.37838811,Buy,2708329,-1.46454265,519322085.75,13285544282.999998,3544,Technology Services,Packaged Software,25.58124304,19.71655116,NASDAQ
TJX,"TJX Companies, Inc. (The)",78.06,-0.78800203,Neutral,6594682,0.55390957,514780876.92,90198651157.99998,340000,Retail Trade,Apparel/Footwear Retail,-2.48594628,-2.65619155,NYSE
CAT,"Caterpillar, Inc.",227.29,-1.57197298,Neutral,2256976,-2.03017241,512988075.04,118283840574.99998,107700,Producer Manufacturing,Trucks/Construction/Farm Machinery,-3.85770483,-3.7437005,NYSE
ADP,"Automatic Data Processing, Inc.",257.2,-1.09594309,Neutral,1991351,-1.14156129,512175477.2,106693712473.00002,60000,Technology Services,Data Processing Services,-2.62739456,-4.70544646,NASDAQ
EOG,"EOG Resources, Inc.",121.67,-2.32800835,Sell,4152439,-2.74958037,505227253.13,71467682598,2800,Energy Minerals,Oil & Gas Production,-14.27464243,-12.44872994,NYSE
AMAT,"Applied Materials, Inc.",107.34,-1.16932143,Buy,4705906,-0.40823901,505131950.04,92345606471.99998,,Producer Manufacturing,Industrial Machinery,-2.0620438,0.59038516,NASDAQ
ZTS,Zoetis Inc.,153.39,-0.1887038,Buy,3274861,-0.35728206,502330928.79,71490782410,12100,Health Technology,Pharmaceuticals: Major,-0.48657065,-2.56003049,NYSE
MDT,Medtronic plc.,78.59,1.02840982,Sell,6370242,1.05439115,500637318.78,104538845550,95000,Health Technology,Medical Specialties,-0.56933198,-1.29364481,NYSE
UNP,Union Pacific Corporation,211.35,-0.78862132,Sell,2334478,-0.49435028,493391925.3,129938161768.99995,29905,Transportation,Railroads,-2.79630226,-1.57406976,NYSE
ABC,AmerisourceBergen Corporation,165.33,-3.0095037,Neutral,2979510,-0.10875476,492602388.3,34003194128.000008,44000,Distribution Services,Medical Distributors,-3.14019568,-4.97729755,NYSE
BKNG,Booking Holdings Inc. Common Stock,2019.98,0.45853309,Buy,242030,0.91574451,488895759.4,78353784688,20300,Consumer Services,Other Consumer Services,-2.85989084,-3.13890594,NASDAQ
HON,Honeywell International Inc.,211.63,-0.80618702,Neutral,2260246,-0.80618702,478335860.98,142283564357,99000,Electronic Technology,Aerospace & Defense,-3.60737873,-3.40058426,NASDAQ
RH,RH,274.48,3.04076883,Buy,1705463,7.51273012,468115484.24,6481159574,6500,Retail Trade,Specialty Stores,-4.3056863,-2.27159439,NYSE
JD,"JD.com, Inc.",58.32,-3.39572635,Buy,7993580,-2.58894271,466185585.6,81954085401.59096,385357,Retail Trade,Internet Retail,1.99370409,-0.54570259,NASDAQ
D,"Dominion Energy, Inc.",58.28,-0.0171556,Sell,7960457,0.17188037,463935433.96,48563278077.00001,17100,Utilities,Electric Utilities,-4.63099329,-3.62163056,NYSE
ELV,"Elevance Health, Inc.",524.92,-0.79377079,Buy,873250,-0.79189583,458386389.99999994,125365366946,98200,Health Services,Managed Health Care,-1.5011634,0.25210084,NYSE
TFC,Truist Financial Corporation,42.08,0.04755112,Sell,10891032,0.38167939,458294626.56,55830325613.00001,52641,Finance,Regional Banks,-10.10467849,-6.61340435,NYSE
DHR,Danaher Corporation,269.34,-0.91236848,Buy,1696558,-0.42883549,456950931.72,196069472977,80000,Health Technology,Medical Specialties,-1.48860685,-1.78317471,NYSE
MCK,McKesson Corporation,371.41,-2.68053663,Sell,1229395,-2.20648253,456609596.9500001,52663519729.99999,75000,Distribution Services,Medical Distributors,-2.69073569,-3.99121106,NYSE
MCD,McDonald's Corporation,272.04,-0.49380007,Neutral,1677358,-0.57380944,456308470.32000005,199248601066,200000,Consumer Services,Restaurants,-0.27493676,-0.49743965,NYSE
EW,Edwards Lifesciences Corporation,74.01,2.11092715,Sell,6135172,2.4785378,454064079.72,45757460781.00001,15700,Health Technology,Medical Specialties,-4.19417476,-3.31809275,NYSE
GE,General Electric Company,81.45,-2.60672008,Sell,5544340,-2.59507295,451586493,88997812663.00002,168000,Producer Manufacturing,Industrial Machinery,-5.25764802,-6.25,NYSE
IBM,International Business Machines Corporation,147.05,-0.49397753,Buy,3047581,-0.23744912,448146786.05,132951790439,307600,Technology Services,Information Technology Services,-1.24244459,-1.08966167,NYSE
CVS,CVS Health Corporation,101.65,-0.85828538,Buy,4383004,-0.50895566,445532356.6,133564739316,300000,Retail Trade,Drugstore Chains,-0.22575579,-0.90660948,NYSE
TGT,Target Corporation,152.28,-1.25154011,Sell,2905888,-0.73658823,442508624.64,70096019808,450000,Retail Trade,Specialty Stores,-8.85257676,-7.23684211,NYSE
CME,CME Group Inc.,178.83,0.91986456,Buy,2474405,0.85725565,442497846.15,64329729811,3480,Finance,Investment Banks/Brokers,1.32011331,1.24554153,NASDAQ
CI,Cigna Corporation,332.12,-0.4137931,Buy,1323686,-0.33011224,439622594.32,101542039728,73700,Health Services,Managed Health Care,0.98209128,1.50366748,NYSE
LRCX,Lam Research Corporation,450.2,-1.05494505,Buy,954211,0.1579568,429585792.2,61397984474,17700,Producer Manufacturing,Industrial Machinery,-4.69537237,-1.63218039,NASDAQ
NEM,Newmont Corporation,46.4,-1.52801358,Neutral,9181955,-2.06838328,426042712,36829480117,31000,Non-Energy Minerals,Precious Metals,-2.25405519,-4.66406411,NYSE
INTU,Intuit Inc.,399.83,-1.36421946,Neutral,1061329,-1.07870061,424351174.07,112322380518.99998,17300,Technology Services,Packaged Software,-1.90387399,-1.98323201,NASDAQ
ADI,"Analog Devices, Inc.",168.68,-0.5717654,Buy,2514922,0.12465127,424217042.96,85908033566,24450,Electronic Technology,Semiconductors,-1.87889012,0.02965071,NASDAQ
CHTR,"Charter Communications, Inc.",380.57,1.67241057,Neutral,1104868,2.5463462,420479614.76,59244203780,93700,Consumer Services,Cable/Satellite TV,-2.73965601,-3.08640403,NASDAQ
TME,Tencent Music Entertainment Group,8.21,2.24159402,Strong Buy,51165561,2.80490859,420069255.81000006,14100937358.93569,5966,Technology Services,Internet Software/Services,17.11840228,10.94594595,NYSE
LI,Li Auto Inc.,21.12,-12.36514523,Neutral,19881393,-6.38297872,419895020.16,23514878800.670265,11901,Consumer Durables,Motor Vehicles,-4,-7.28709394,NASDAQ
LIN,Linde plc,332.21,-0.7231868,Buy,1262938,-0.7498805,419560632.9799999,164237814986,72327,Process Industries,Chemicals: Specialty,-1.26902045,-1.52364014,NYSE
HAL,Halliburton Company,33.01,-5.33409808,Strong Sell,12705909,-5.63178959,419422056.09,29974621790,40000,Industrial Services,Oilfield Services/Equipment,-12.8793877,-15.07589401,NYSE
ABNB,"Airbnb, Inc.",94.7,-0.13708742,Sell,4405804,0.91645354,417229638.8,59953225806.00001,6132,Consumer Services,Other Consumer Services,-7.28411984,-6.23762376,NASDAQ
BIDU,"Baidu, Inc.",119.99,-0.2825563,Buy,3470483,-2.65292877,416423255.1699999,44663500782.7453,45500,Technology Services,Internet Software/Services,10.48802947,5.43936731,NASDAQ
LMT,Lockheed Martin Corporation,483.58,-0.37084346,Buy,856508,-0.42418252,414190138.64,126733729123,114000,Electronic Technology,Aerospace & Defense,-0.33182877,-2.54922113,NYSE
FCX,"Freeport-McMoRan, Inc.",38.59,-3.18615153,Buy,10601721,-3.69353631,409120413.3900001,55157739586.99999,24700,Non-Energy Minerals,Other Metals/Minerals,-3.04020101,-4.05271009,NYSE
SCHW,Charles Schwab Corporation (The),79.82,-0.53582555,Buy,5098417,-0.12512513,406955644.93999994,149003128445,33400,Finance,Investment Banks/Brokers,-3.29537194,-3.20155227,NYSE
CHWY,"Chewy, Inc.",43.65,4.00285919,Buy,9287583,8.28578516,405402997.95,18479159542,21300,Retail Trade,Internet Retail,1.20565732,-2.82724844,NYSE
COIN,"Coinbase Global, Inc.",40.24,-6.00327026,Sell,10030058,-3.26923077,403609533.92,9133090976,3730,Technology Services,Packaged Software,-12.0052482,-15.58632263,NASDAQ
PANW,"Palo Alto Networks, Inc.",158.9,-1.16929966,Strong Sell,2492060,-0.8424337,395988334,48044514903.00001,12561,Technology Services,Packaged Software,-6.4743967,-7.98540738,NASDAQ
USB,U.S. Bancorp,43.11,-1.03305785,Sell,9097582,-0.57656827,392196760.02,64053851402.00001,68796,Finance,Major Banks,-5.02313285,-5.543383,NYSE
BLK,"BlackRock, Inc.",706.95,0.49897646,Buy,549214,0.93229776,388266837.3,106180761388,18400,Finance,Investment Managers,-1.26396648,-0.84574602,NYSE
FERG,Ferguson plc,127.12,0.8248731,Strong Buy,3028751,0.92894006,385014827.12,25309251936,36000,Distribution Services,Wholesale Distributors,8.43640706,8.98491084,NYSE
ETSY,"Etsy, Inc.",126.78,-5.73977695,Buy,3032009,-3.06227778,384398101.02,15934763626,2402,Retail Trade,Internet Retail,-4.01998637,-9.75870169,NASDAQ
REGN,"Regeneron Pharmaceuticals, Inc.",750.06,-2.0067414,Buy,508512,-0.41424361,381414510.72,81669372269,10368,Health Technology,Pharmaceuticals: Major,-0.21817214,-2.13076893,NASDAQ
DXCM,"DexCom, Inc.",116.46,-5.06236244,Buy,3274317,-4.26633785,381326957.82,44983620031,6300,Health Technology,Medical Specialties,0.15479876,-1.39700279,NASDAQ
UBER,"Uber Technologies, Inc.",26.55,0.37807183,Sell,14253514,0.56818182,378430796.7,52951513585,29300,Transportation,Other Transportation,-8.88812629,-7.65217391,NYSE
ABMD,"ABIOMED, Inc.",380.75,0,Buy,990056,0.11043042,376963822,17168467816,2003,Health Technology,Medical Specialties,0.78350406,0.94114528,NASDAQ
NEE,"NextEra Energy, Inc.",84.51,-1.45755597,Buy,4460299,-1.22720898,376939868.49,167935197902.00003,15000,Utilities,Electric Utilities,-0.22432113,-0.80985915,NYSE
LCID,"Lucid Group, Inc.",8.68,0,Sell,43062621,1.75849941,373783550.28,14586142915.000002,3900,Consumer Durables,Motor Vehicles,-14.39842209,-14.48275862,NASDAQ
FANG,"Diamondback Energy, Inc.",129.6,-2.46839253,Strong Sell,2872096,-2.26244344,372223641.6,22809417163,870,Energy Minerals,Oil & Gas Production,-12.44426429,-10.90334112,NASDAQ
MELI,"MercadoLibre, Inc.",896.48,1.38423957,Sell,409557,2.06177351,367159659.36,45088366642.00001,29957,Retail Trade,Internet Retail,-3.70628958,-5.1414181,NASDAQ
